;JOB TITLE;LOCATION;SEARCH DATETIME;Current Job Id;Job name;Company name;Company location;Posted date;Estimated post date;Easy apply;Skills match;Seniority Level;Industry;Employment Type;Job Functions;Job info
0;data analyst;Madrid;2020-04-16 01:24:55.267452;1822425171;Data Analyst;Amazon;Madrid, ES;12 hours;2020-04-15 13:24:55.267452;False;;;Computer Software Information Technology & Services Internet;Full-time;Strategy/Planning Analyst Information Technology;"New
Posted Date
Posted 12 hours ago
Number of views
355 views
Share
Show more options
Save
Save Data Analyst at Amazon
Apply
See how you compare to 49 applicants. Reactivate Premium
Job
49 applicants
Full-time
Company
10001+ employees
Seattle, WA
Connections
2 connections
10 alumni
Description

Amazon Fashion is a fast moving innovative team that is revolutionizing the future of online Fashion retail to become each customer’s most loved fashion destination. We are looking for candidates that are passionate about big data and data warehouse technologies (Redshift, EMR, Spark), visualization (Tableau, Amazon QuickSight) and statistical modelling/ML. This role will design, execute, and iterate on reporting directly visible to Senior Leadership in EU Amazon Fashion. Beyond reporting, the role will lead strategic deep dives and build algorithmic solutions that drive discoveries in search, marketing, and pricing to surprise and delight Fashion customers at every turn.

The ideal candidate has a strong track record and end-to-end ownership of the full stack of data analysis (data engineering, ETL, data modelling, and data visualization), with a high fluency in SQL and Python/R. You should also thrive on independence and be relentless in finding automated solutions and eliminating manual solutions.

Primary Responsibilities
Own Reporting/BI roadmap by working with business leaders on strategically prioritizing numerous requests and long-term adoption of new technologies
Develop performance dashboards with key metrics for review with senior leadership and business teams
Empower non-technical, internal customers to self-sufficiency in analytics and reporting via business intelligence and visualization software (e.g., Tableau, Amazon Quicksight, etc.).
Create data pipelines from a data lake to various reporting, visualization, and modelling tools
Use statistical and Machine Learning techniques for strategic deep dives and generate actions, as well as communicating in front of senior leadership.
For This Position We Expect

BASIC QUALIFICATIONS
BS in a quantitative field such as Computer Science, Engineering, Mathematics, Statistics or related field
Multiple years of relevant work experience in BI, Analytics, or Data Science fields or comparable fields
Proven SQL/Python skills in data transformation, analysis, and optimization
Excellent communication written and verbal communication skills, especially in regards to quantitative topics discussed with non-technical colleagues
Ability to influence multiple stakeholders to align roadmap and priorities
Strong organizational and multitasking skills with ability to balance competing priorities
Further Qualifications Would Be a Plus

PREFERRED QUALIFICATIONS
MS or PhD in a quantitative field such as Computer Science, Engineering, Mathematics, Statistics or related field
Broad experience in big data technologies (Hadoop, Hive, etc.)
Familiarity with AWS services such as S3, Redshift, EMR, Athena, etc.
History of applying statistical or machine learning models to business problems
Familiarity with fashion world and seasonal online retail
Are you interested? We look forward to receiving your application. Please submit your online application including your CV and covering letter in English.

By submitting your resume and application information, you authorize Amazon to transmit and store your information in the Amazon group of companies' world-wide recruitment database, and to circulate that information as necessary for the purpose of evaluating your qualifications for this or other job vacancies.

Did you know that Amazon is offering various jobs in part-time? If you want to apply, please filter for “part-time” in the job type search section on amazon.jobs.


Company - Amazon EU SARL (Spain Branch)
Job ID: A952892
Industry
Computer Software Information Technology & Services Internet
Employment Type
Full-time
Job Functions
Strategy/Planning Analyst Information Technology"
1;data analyst;Madrid;2020-04-16 01:24:55.267452;1822423791;Senior Consultant, Data & Analytics (Level 6);Amazon Web Services (AWS);Madrid, ES;12 hours;2020-04-15 13:24:55.267452;False;;Mid-Senior level;Computer Software Information Technology & Services Internet;Full-time;Sales Advertising Business Development;"New
Posted Date
Posted 12 hours ago
Number of views
111 views
Share
Show more options
Save
Save Senior Consultant, Data & Analytics (Level 6) at Amazon Web Services (AWS)
Apply
Job
6 applicants
Mid-Senior level
Company
10001+ employees
Information Technology & Services
Connections
1 connection
1 alum
Description

Are you a Big Data specialist? Do you have Data Warehousing and/or Hadoop experience? Do you like to solve the most complex and high scale (billion + records) data challenges in the world today? Would you like a career that gives you opportunities to help customers and partners use computing to do big new things faster and at lower cost? Do you want to be part of history and transform businesses through computing adoption? Do you like to work on-site in a variety of business environments, leading teams through high impact projects that use the newest data analytic technologies? Would you like a career path that enables you to progress with the rapid adoption of computing?

At Amazon Web Services (), we’re hiring highly technical computing consultants to collaborate with our customers and partners derive business value from Big Data in the . Our consultants will develop and deliver proof-of-concept projects, technical workshops, and support projects. These professional services engagements will focus on customer solutions such as batch and real-time data capture and analysis, driving data driven decisions and desired customer outcomes.

Responsibilities Include
Expertise - Collaborate with field sales, pre-sales, training and support teams to help partners and customers learn and use services such as Amazon Elastic Compute (EC2), Amazon Data Pipeline, Glue, Amazon S3, Amazon DynamoDB, Amazon Relational Database Service (RDS), Amazon Elastic Map Reduce (EMR), Amazon Kinesis, and Amazon Redshift.
Solutions - Deliver on-site technical engagements with partners and customers. This includes participating in pre-sales on-site visits, understanding customer requirements, creating consulting proposals and creating packaged Big Data service offerings.
- Engagements include short on-site projects proving the use of services to support new distributed computing solutions that often span private and services. Engagements will include of existing applications and development of new applications using services.
Insights - Work with engineering and support teams to convey partner and customer needs and feedback as input to technology roadmaps. Share real world challenges and recommend new capabilities that would simplify adoption and drive greater value from use of services.
Push the envelope – computing is reducing the historical “IT constraint” on businesses. Imagine bold possibilities and work with our clients and partners to find innovative new ways to satisfy business needs through Big Data / Business Intelligence computing.
Amazon aims to be the most customer centric company on earth. Amazon Web Services () provides a highly reliable, scalable, low-cost infrastructure platform in the that powers critical applications for hundreds of thousands of businesses in 190 countries around the world.


Basic Qualifications
BA/BS degree or equivalent experience; Computer Science or Math background preferred.
7+ years’ experience of Big Data solutions in a highly technical and analytical role.
Customer facing skills to represent within the customer’s environment and drive discussions with senior personnel regarding trade-offs, best practices, project management and risk mitigation. Ability to interact with Executive level stakeholders, as well as the people within their organizations.
Proven track record of thinking strategically about business, product, and technical challenges whilst designing and delivering innovating solutions in an enterprise environment.
Experience with massively-parallel-processing (MPP) models, real-time processing and analytics, data ingestion (batched and streamed) and data storage solutions.
Familiarity with Hadoop ecosystem and associated technologies and processes.
Experience developing software code in one or more programming languages (Java, JavaScript, Python, etc).
Ability to travel to client locations when needed.
Preferred Qualifications
Master in Computer Science
Hands on experience leading large-scale global data warehousing and analytics projects.
Deep understanding of database and analytical technologies in the industry including MPP and NoSQL databases, Data Warehouse design, BI reporting and Dashboard development.
Demonstrated industry leadership in the fields of database, data warehousing or data sciences.
and tuning experience of Big Data solutions specifically using Amazon Web Services.
Track record of implementing services in a variety of distributed computing, enterprise environments.

Company - AWS EMEA SARL (Spain Branch)
Job ID: A893429
Seniority Level
Mid-Senior level
Industry
Computer Software Information Technology & Services Internet
Employment Type
Full-time
Job Functions
Sales Advertising Business Development"
2;data analyst;Madrid;2020-04-16 01:24:55.267452;1821611516;Data Analyst Scala H/M;Experis IT;Madrid, Comunidad de Madrid, España;1 day;2020-04-15 01:24:55.267452;True;;Mid-Senior level;Information Services Telecommunications Banking;Full-time;Information Technology Consulting Project Management;"Posted Date
Posted 1 day ago
Number of views
260 views
Share
Show more options
Save
Save Data Analyst Scala H/M at Experis IT
Easy Apply
See how you compare to 44 applicants. Reactivate Premium
Job
3/7 skills match
44 applicants
Company
201-500 employees
Information Technology & Services
Connections
You have 0 connections at this company.
Add >
Experis IT, somos una compañía líder en soluciones de reclutamiento, selección y gestión de proyectos IT para todo tipo de empresas, perteneciente a ManpowerGroup. En la actualidad cuenta con una plantilla de más de 1.800 consultores en España y presencia internacional en 54 países.
Impulsamos el crecimiento de las organizaciones a través de un proceso de atracción, desarrollo y compromiso con el mejor talento del mercado.
Nuestro equipo de expertos en el sector tiene como objetivo el crecimiento de tu carrera profesional. Para ello, te acompañamos durante todo en todo el proceso, con un trato cercano y personalizado, para ajustarnos a tus metas profesionales en cada momento.

Nos encontramos en búsqueda de un/a Data Analyst con  mínimo un año de experiencia en Scala para trabajar en uno de nuestros equipos en nuestras instalaciones (Chamartín).

Prestaciones adicionales:
1.- Contigo más: Descuentos (compras en Fnac, entradas de teatro, entradas de cine, reservas en booking).
2.- Plan Alares: Plan de conciliación de la vida personal y profesional (10 horas gratuitas al año). Ejemplo: Recoger al niño del colegio, coche del taller, que te lleven medicamentos a casa, renovación de carnet de conducir, temas de empadronamiento, declaración de renta.
3.- BeneficiaT/Retribución flexible: Flexibilización del salario (Desgrava IRPF). Ejemplo: Ticket Restaurante, seguro médico, servicio de guardería, etc. Y todo ello desgravaría en IRPF.
4.- Power You: Formación (Cursos formativos)
- Presencial: Reglada (Certificación) y No Reglada
- Formación Online.En caso de que el curso que requiere el trabajador no esté en la plataforma ofertada por Manpower, puede buscar uno de manera independiente y solicitar Cofinanciación
Seniority Level
Mid-Senior level
Industry
Information Services Telecommunications Banking
Employment Type
Full-time
Job Functions
Information Technology Consulting Project Management
How you match
Criteria provided by job poster
Skills
Match
Data Analysis
Match
Business Intelligence (BI)
Match
R
No match
Mathematical Modeling
No match
Big Data
No match
Big Data Analytics
No match
Scala"
3;data analyst;Madrid;2020-04-16 01:24:55.267452;1822454033;Backoffice Product Owner;SoYou_Bankia;Madrid y alrededores, España;9 hours;2020-04-15 16:24:55.267452;True;;Associate;Financial Services;Full-time;Analyst Information Technology Product Management;"New
Posted Date
Posted 9 hours ago
Number of views
398 views
Share
Show more options
Save
Save Backoffice Product Owner at SoYou_Bankia
Easy Apply
See how you compare to 97 applicants. Reactivate Premium
Job
1/6 skills match
97 applicants
Company
51-200 employees
Connections
You have 0 connections at this company.
Add >
*IMPRESCINDIBLE ADJUNTAR CV

As a Backoffice Product Owner, the main duties will be:
Work in an International Project to integrate backoffice platform in Spain.
Understand business requirements related to Collection & Litigation within consumer finance and refine them helping the business to define the most efficient solution. Work with the Business Owners to align business requirements with the corporate solution. Define integrations with our Core Banking Solution, CRM and Contact Center platforms in an efficient way and ensuring data consistency and a proper user experience.
Be the reference from the functional point of view for the Business owners and technical team.
Collaborate in the definition of an executable roadmap for IT Delivery, driven by Business milestones, in a comprehensive go-to-market approach (MVP).
Animate workshops with Business owners, technical analyst and technical team to refine user stories and define the best solution with a best in class user experience and automatization.
Define and refine mature user stories small enough to be implemented in an easy way.
Ensure the solution implemented follow the quality and sustainability standards of the company.
Ensure and promote the execution of the agile ceremonies (refinement, daily, retrospective).

Requirements:
University degree – IT, engineering, statistics.
2 years of experience. Proven experience as Business Analyst in Agile projects.
Technical knowledge of Digital processes for Consumer Finance is a plus (e.g. Electronic documentation & reporting).
Have experience working with agile methodology.
Compulsory use of operative English and Spanish (at a very good level in both)
Experience in backoffice projects.

Competencies:
Strong interpersonal skills
Entrepreneurship skills
Ability to evaluate in a challenging and fast growing environment
Business oriented
Organization and planning;
Results oriented;
Ability to work as a team;
Effective oral and written communication
Willing to work on an international environment.


*IMPRESCINDIBLE ADJUNTAR CV*
Seniority Level
Associate
Industry
Financial Services
Employment Type
Full-time
Job Functions
Analyst Information Technology Product Management
How you match
Criteria provided by job poster
Skills
Match
Business Analysis
No match
User Stories
No match
Banking
No match
Technology Roadmapping
No match
User Experience (UX)
No match
Agile Methodologies"
4;data analyst;Madrid;2020-04-16 01:24:55.267452;1782509532;Malware Analyst;Deloitte España;Madrid, ES;2 weeks;2020-04-02 01:24:55.267452;False;;Associate;Information Technology & Services Management Consulting Financial Services;Full-time;Engineering Information Technology;"Posted Date
Posted 2 weeks ago
Number of views
204 views
Share
Show more options
Save
Save Malware Analyst at Deloitte España
Apply
See how you compare to 22 applicants. Reactivate Premium
Job
22 applicants
Associate
Company
5,001-10,000 employees
Madrid, Madrid
Connections
1 connection
3 alumni
Are you energized by helping organizations protect their data and build client trust? Do you want to work in one of the world’s largest holistic internal cybersecurity organizations? If you’re interested in proactively preventing, detecting, and responding to cyber-attacks across a complex global footprint, then Deloitte Global could be the perfect place for you. We’re looking for an analytical thinker passionate about cybersecurity to join our team.

The Malware Analyst reports to the Collections Manager. Malware analysis lives within the collection function of the Threat Intelligence group. As a Malware Analyst, you will conduct static and dynamic analysis of malware to extract atomic indicators of compromise, profile malware behavior, and provide recommendations for mitigating and detecting malware. Responsibilities include:

Dynamic malware analysis
Static malware analysis
Writing technical briefs based on significant malware findings
Developing signatures and rules (e.g. Yara rules, Snort rules) to detect malware
Deliver recommendations to security operations personnel for mitigating and/or detecting malware intrusions
Provide detailed input and participate as a key member in security infrastructure projects and implementations

What do we offer?

You will have a training plan, covering technical aspects and Soft Skills.
You will have access to social benefits: life and accident insurance, health insurance subsidy for you and your family, discounts at gyms and other products and services.
You will have a career plan
I f you feel a strong commitment with social and environmental responsibility, you can actively participate in all the initiatives in our CSR area.

If you have a bachelor’s degree in a technology-related field or equivalent experience required do not hesitate to apply!

What impact will you make?
Seniority Level
Associate
Industry
Information Technology & Services Management Consulting Financial Services
Employment Type
Full-time
Job Functions
Engineering Information Technology"
5;data analyst;Madrid;2020-04-16 01:24:55.267452;1733381424;Cyber Security Analyst;Twilio Inc.;Madrid, ES;3 days;2020-04-13 01:24:55.267452;False;;;Information Technology & Services Internet Telecommunications;Full-time;Other;"Posted Date
Posted 3 days ago
Number of views
509 views
Share
Show more options
Save
Save Cyber Security Analyst at Twilio Inc.
Apply
See how you compare to 29 applicants. Reactivate Premium
Job
29 applicants
Full-time
Company
1,001-5,000 employees
Internet
Connections
You have 0 connections at this company.
Add >
Because you belong at Twilio

The Who, What, Why And Where

Twilio’s Security Operations (SecOps) team is responsible for detecting and responding to all security incidents on Twilio’s complex global network. Cyber Security Analysts support this mission by working across the organization to identify and collect useful sources of data, understand security architectures and capabilities, oversee our holistic vulnerability management program, and lead our incident response efforts.

Who?

They Also Have

Twilio is looking for an exceptional Cyber Security Analyst who lives the Twilio Magic and has a demonstrated track record of monitoring networks on a global scale and documenting security issues.
4+ years in an analyst, IT support, Security Operations Center, preferably at a technology company, and in a PaaS or SaaS environment
Ability to follow runbooks, troubleshoot technical issues, and recognize and identify patterns
Linux command line skills, as well as programming or scripting experience
An ambition to learn and develop new skills in Security
Commitment to sharing experiences and good security practices with colleagues and the community
Contributions to free, open-source software projects
AWS, GCP, or other large cloud platform experience

What?

As a Security Operations Center Analyst, you will live the Twilio Magic values:
BE AN OWNER: Conducting daily operations tasks including monitoring logs for anomalous (or malicious activity), investigating alerts, and triaging events. Engaging with cross-functional partners to identify and understand new data sources, tune false positives, and centralize data in aggregation platforms. Assisting internal investigations around employee misconduct and external investigations related to Twilio’s infrastructure and services
WRITE IT DOWN: Developing inter- and intra-team practices for detection, forensics, and general security
DON’T SETTLE: Utilize and improve our use of security tools such as: DDoS mitigation, intrusion detection, log aggregation, forensic collection, and WAF products
DRAW THE OWL: Contributing to the development of our in-house security automation framework

Why?

At Twilio, maintaining customer trust is our top priority. Keeping that in mind, doing the right thing when things go wrong requires extraordinary discipline and technical leadership... And that’s where you fit in!

Twilio is a company that is empowering the world’s developers with modern communication in order to build better applications. Twilio is truly unique; we are a company committed to your growth, your learning, your development, and your entire employee experience. We only win when our employees succeed and we're dedicated to helping you develop your strengths. We invest in weeks dedicated to tackling hard problems and creating your own ideas. We have a cultural foundation built on diversity, inclusion, and innovation and we want you and your ideas to thrive at Twilio.

Where?

This position will be located in our beautiful office at WeWork c/o Twilio S.L, Paseo de la Castellana 77 in Madrid. You will enjoy our incredible perks: catered meals - lunches and dinner during All Hands, New Hire mingle breakfast, snacks, fresh fruit, frequent events, ergonomic desks, monthly All Hands and more.

You will also be part of a company that believes in small teams for maximum impact; that strives to balance work and home life; that understands that this is a marathon, not a sprint; that continuously and purposefully builds an inclusive culture where everyone is able to do and be the best version of themselves. We seek people who naturally demonstrate our values , who are challenged by problems, empower others to thrive, and can draw the owl and not be beholden to one playbook.

About Us

Millions of developers around the world have used Twilio to unlock the magic of communications to improve any human experience. Twilio has democratized communications channels like voice, text, chat, video and email by virtualizing the world’s communications infrastructure through APIs that are simple enough for any developer to use, yet robust enough to power the world’s most demanding applications. By making communications a part of every software developer’s toolkit, Twilio is enabling innovators across every industry — from emerging leaders to the world’s largest organizations — to reinvent how companies engage with their customers.
Industry
Information Technology & Services Internet Telecommunications
Employment Type
Full-time
Job Functions
Other"
6;data analyst;Madrid;2020-04-16 01:24:55.267452;1793235487;Senior Data Engineer;Aplazame;Madrid, Community of Madrid, Spain;1 week;2020-04-09 01:24:55.267452;True;;Associate;Financial Services;Full-time;Analyst Engineering;"Posted Date
Posted 1 week ago
Number of views
223 views
Share
Show more options
Save
Save Senior Data Engineer at Aplazame
Easy Apply
See how you compare to 30 applicants. Reactivate Premium
Job
3/10 skills match
30 applicants
Company
11-50 employees
Financial Services
Connections
1 alum
Posted by
Azahara P. 2nd
Talent Acquisition Manager en Aplazame (We are hiring!)
Send InMail
¡Hola! Somos Jorge Valhondo y Eyad Tomeh, Chief Data Officer y Data Engineer en Aplazame respectivamente.

Uno de los temas que nos obsesiona en Aplazame es el uso de los datos, tanto para conceder crédito de calidad en tiempo real, como también para disponer de métricas de negocio desde distintos puntos de vista que desencadenan acciones.

Desde la compra de Aplazame por el grupo WiZink Bank, todo el equipo está creciendo con un objetivo: convertirnos en la solución líder de financiación instantánea en España y expandirnos a otros países. Para lograr un crecimiento exponencial y seguir prestando especial atención a los datos buscamos incorporar un@ Senior Data Engineer.

¿Quiénes somos nosotros?

Aplazame es una startup FinTech recientemente adquirida por el grupo WiZink Bank que ofrece financiación instantánea para compras online y offline. Te damos crédito para que puedas comprar esa bici tan molona que has visto en tu comercio favorito en cómodos plazos . Sin papeleo, sin letra pequeña y sin llamar a tu banco. Sólo tú con tu móvil y en cuestión de segundos.

Nuestro objetivo es ofrecer productos financieros simples, transparentes y justos que merezcan la confianza de la gente y les permita comprar con flexibilidad. Si quieres participar en el reto que supone trabajar en una de las historias de éxito más importantes del panorama nacional, queremos saber de ti.

¿Cómo es la cultura basada en datos de Aplazame?

Uno de los pilares del área de Data es el desarrollo de un innovador sistema de decisión de crédito basado en un conjunto de algoritmos de machine learning. Además, y no menos relevante, en el equipo de Data también nos encargamos de integrar múltiples fuentes de datos, elaborar métricas e indicadores de riesgo, y en un sentido más amplio, de socializar el acceso a los datos al resto de compañeros. Ahora necesitamos refuerzos y por eso estamos buscando alguien que se incorpore al equipo. ¿Te apetecería sumarte al reto? 

¿Cómo es el Data Team de Aplazame?

Somos un equipo compacto y de alto rendimiento. Te hago una breve presentación de nosotros:
Adrián, Lead Data Scientist.
Eyad, Data Engineer.
Urko, Credit Risk Analyst.
Juan Antonio, Data Scientist.
Adrián V., Data Scientist & Engineer.
Ángel, DevOps Engineer.
Aitor, Data Visualization Specialist.

¿A quién nos gustaría encontrar?

Tienes al menos unos 3 años de experiencia programando Python.
Tienes experiencia en un puesto de Backend Developer o Data Engineer.
Demuestras experiencia en entornos Cloud como AWS o GCP.
Tienes experiencia en el diseño y desarrollo de ETL y Pipelines de datos.
Tienes experiencia utilizando Docker en entornos de producción.
Demuestras experiencia con bases de datos relacionales y no relacionales en producción.
Demuestras experiencia integrando APIs como fuentes de enriquecimiento de datos.
Tienes conocimientos y práctica con frameworks como Django o Flask.
Tienes conocimientos de Kafka y sistemas de colas de mensajes.

¿Cómo será tu día a día?

Formarás parte del equipo de data liderado por nuestro CDO. Tu misión principal será asegurar el correcto funcionamiento de los distintos flujos de información entre los sistemas y bases de datos según los requerimientos específicos.
Trabajarás en estrecha colaboración con el resto de miembros del equipo, tanto data science y data analytics, como también credit risk.
Trabajarás en estrecha colaboración con miembros de distintos squads de producto y tecnología.
Definirás y desarrollarás pipelines de datos que permitan su propagación por los diferentes sistemas y bases de datos.
Definirás y desarrollarás procesos ETL que computen métricas de diferente naturaleza: data science, data analytics, credit risk.
Definirás e implementarás modelos y estructuras de datos, y también stack de tecnología.
Definirás e implementarás mensajes de información asociados a eventos que se propagan por la infraestructura pudiendo así reaccionar el tiempo real.
Definirás e integrarás nuevas fuentes de datos que se consulten en tiempo real durante las transacciones.
Desarrollarás parte de la lógica del motor de decisión de crédito en tiempo real.

¿Qué ofrecemos?

Salario bruto entre 42.000€ - 50.000€ / año fijos más 20% variable.
Bolsa de 1000€ / año adicionales para formación.
Contrato laboral indefinido.
Seguro médico Sanitas Multi subvencionado en un 75%.
Aplazame como método de pago al 0% TAE.
24 días laborables de vacaciones al año.
El equipo que necesites para trabajar a gusto.
Trabajar con cracks con los que aprender y pasarlo bien creciendo como profesional. Somos humildes pero ambiciosos. Nos encantará ayudarte a desarrollarte profesionalmente. Tu límite lo vas a poner tú.
Un ambiente de confianza, comunicación abierta y buen rollo. Entendemos que tiene que haber ciertas jerarquías, pero nos gusta ser muy horizontales. Todos hablamos con todos y cualquiera es bienvenido a aportar su visión, ideas o experiencias en cualquier frente.
Cultura de feedback y aprendizaje. Intentamos no equivocarnos, pero creemos que de los errores también se aprende mucho. Un buen análisis post-mortem de un fallo puede ser una fuente de aprendizaje brutal.
Horario flexible. Nos fijamos en tus resultados, no en a qué hora llegas o te vas de la oficina así que, dentro de lo lógico, podrás entrar y salir cuando quieras.
La posición está basada en Madrid, y en este caso buscamos alguien que venga frecuentemente a la oficina, aunque nuestra cultura es remote friendly. Tendrás la oportunidad de trabajar en remoto cuando lo necesites.

¿Cómo será el proceso?
Si crees que puedes encajar en esta oferta, nos encantaría hablar contigo. Inscríbete en esta oferta de LinkedIN!
Si tu propuesta nos resulta interesante, nos pondremos en contacto contigo para realizar una entrevista inicial. Así nosotros podremos conocerte y tú tendrás la oportunidad de preguntarnos todo lo que quieras saber.
Si tras esa primera entrevista creemos que tu perfil tiene encaje en el equipo, te propondremos realizar una prueba técnica para valorar más profundamente tus conocimientos.
Te daremos feedback sobre la prueba técnica y, si superas la primera fase del proceso, coordinaremos alguna entrevista técnica con nuestro CDO y el equipo de Data.

¡Estamos deseando conocerte!
Seniority Level
Associate
Industry
Financial Services
Employment Type
Full-time
Job Functions
Analyst Engineering
How you match
Criteria provided by job poster
Skills
Match
Data Visualization
Match
Data Analytics
Match
Algorithms
No match
Financial Technology
No match
Docker Products
No match
Data Structures
No match
DevOps
No match
Extract, Transform, Load (ETL)
No match
Events
No match
Django"
7;data analyst;Madrid;2020-04-16 01:24:55.267452;1780196846;Analista de datos (Python) - Madrid;IT Partner España;Madrid, ES;1 month;2020-03-19 01:24:55.267452;False;;Entry level;Information Technology & Services Computer Software Human Resources;Full-time;Information Technology;"Posted Date
Posted 1 month ago
Number of views
109 views
Share
Show more options
Save
Save Analista de datos (Python) - Madrid at IT Partner España
Apply
See how you compare to 11 applicants. Reactivate Premium
Job
11 applicants
Entry level
Company
2-10 employees
Outsourcing/Offshoring
Connections
You have 0 connections at this company.
Add >
IT Partner España busca para incorporación a su plantilla los siguientes perfiles profesionales: Analista de Datos – Madrid.

Requisitos Mínimos

– Experiencia contrastada en Big Data, especialmente entornos Python y con conocimientos de Spark y SQL.
– Acostumbrado a la toma de requisitos de usuarios finales.
– Experiencia en el manejo de grandes volúmenes de datos en plataformas Big Data.

Otros Requisitos Deseados

– Experiencia en sector financiero
– Más de 2 años de experiencia profesional en entornos de BI Titulación universitaria superior. (Estadística, Matemáticas o Informática)
– Se valorará el conocimiento práctico de la industria financiera.

Perfil

– Proactividad, capacidad para trabajar con supervisión media/baja en base a los
requerimientos establecidos.
– Experiencia en análisis estadístico descriptivo.
– Capacidad para extraer conclusiones con sentido de negocio.

Se ofrece

– Contratación indefinida
– Posición en compañía y entorno internacionales
– Posibilidad de desarrollo profesional.
– Horario flexible.

Rogamos enviar el CV detallado en formato europeo a la dirección click apply indicando el Còdigo Anuncio 2019-231-MA-PYTHON y especificando el consentimiento al tratamiento de los datos personales según las actuales disposiciones legales en conformidad con lo establecido en la Ley Orgánica 15/1999, de 13 de diciembre, de Protección de Datos de Carácter Personal.
Seniority Level
Entry level
Industry
Information Technology & Services Computer Software Human Resources
Employment Type
Full-time
Job Functions
Information Technology"
8;data analyst;Madrid;2020-04-16 01:24:55.267452;1803467375;Analista de Datos, Madrid;SEREM Consultoría Empresarial;Madrid, ES;2 weeks;2020-04-02 01:24:55.267452;False;;Entry level;Information Technology & Services Computer Software Human Resources;Full-time;Information Technology;"Posted Date
Posted 2 weeks ago
Number of views
82 views
Share
Show more options
Save
Save Analista de Datos, Madrid at SEREM Consultoría Empresarial
Apply
See how you compare to 15 applicants. Reactivate Premium
Job
15 applicants
Entry level
Company
201-500 employees
Information Technology & Services
Connections
You have 0 connections at this company.
Add >
Analista de Datos en Madrid
En Serem buscamos incorporar a nuestro equipo profesionales con experiencia en la experiencia en el uso y ejecución de proyectos de calidad del dato con Informática DataQuality en su módulos tanto de Análisis como desarrollo.
El nuevo miembro del equipo participará en tareas de perfilado de información, mapping de identificación de estado de calidad y enriquecimiento, dashboard de calidad y linaje del dato.
Ubicación del proyecto: Madrid
Formar parte de una empresa como SEREM se traduce en oportunidad: la diversidad de oferta con la que contamos significa que puedes desarrollar tu trayectoria profesional en el ámbito que mejor responda a tus intereses, así como ir aprendiendo en las distintas áreas de la compañía.
En SEREM estamos especializados en Servicios IT Consulting, desarrollo .Net y J2EE de Apps y Web 2.0, BPO Outsourcing, Contact Center y Helpdesk. Ofrecemos Soluciones Cloud, IT Service Management e Inteligencia de Negocio.
IDQ, Business Intelligence,
Seniority Level
Entry level
Industry
Information Technology & Services Computer Software Human Resources
Employment Type
Full-time
Job Functions
Information Technology"
9;data analyst;Madrid;2020-04-16 01:24:55.267452;1823418020;Business Development Manager - StartUp Data & Analytics;Robert Walters;Madrid, ES;4 weeks;2020-03-19 01:24:55.267452;False;;Associate;Information Technology & Services Staffing & Recruiting Human Resources;Full-time;Sales Business Development;"Posted Date
Posted 4 weeks ago
Number of views
43 views
Share
Show more options
Save
Save Business Development Manager - StartUp Data & Analytics at Robert Walters
Apply
Job
6 applicants
Associate
Company
1,001-5,000 employees
Staffing & Recruiting
Connections
1 connection

Importante StartUp nacional, especializada en Analítica prescriptiva, busca incorporar a su equipo un Business Development Manager, con base en Madrid, para apoyar el desarrollo de negocio en grandes cuentas.

Reportando al Director Comercial, tus funciones como Business Development Manager incluirán:

Investigar el mercado y la competencia, con el objetivo de detectar oportunidades de nuevo negocio.
Desarrollar las cuentas existentes, construyendo relaciones sólidas a largo plazo.
Mantener interloución con C-level y Dirección en las grandes cuentas.
Elaborar presentaciones ad-hoc a las necesidades del cliente, ofreciéndole soluciones de valor.
Realizar un Business Plan para cada cuenta, con el fin de optimizar el proceso de venta.
Alcanzar los objetivos de venta fijados por la compañía.

Deberás aportar entre 3-5 años de experiencia en un rol comercial similar, dentro una compañía de Data & Analytics, donde hayas desempeñado labores de desarrollo de negocio hacia grandes cuentas multisector. Además, será fundamental aportar experiencia vendiendo soluciones complejas con un ciclo de venta largo.

Si tienes buenas habilidades de comunicación y negociación, experiencia relevante en el sector, y estás en búsqueda de nuevos retos, no lo dudes e inscríbete ya!
Seniority Level
Associate
Industry
Information Technology & Services Staffing & Recruiting Human Resources
Employment Type
Full-time
Job Functions
Sales Business Development"
