JOB TITLE;LOCATION;SEARCH DATETIME;Current Job Id;Job htmlJob name;Company name;Company location;Posted date;Estimated post date;Easy apply;Skills match;Seniority Level;Industry;Employment Type;Job Functions;Job info;Job html;Job name
data analyst;Madrid;2020-04-16-20:47;1744889236;;YUKON IT SPAIN & EUROPE;Madrid y alrededores;1 month;2020-03-19-20:47;True;;Associate;Information Technology & Services Telecommunications Internet;Full-time;Information Technology Engineering;"Posted Date
Posted 1 month ago
Number of views
1,219 views
Share
Show more options
Unsave
Unsave Analista de datos at YUKON IT SPAIN & EUROPE
Easy Apply
See how you compare to 228 applicants. Reactivate Premium
Job
6/10 skills match
228 applicants
Company
501-1,000 employees
Madrid, Madrid
Connections
You have 0 connections at this company.
Add >
Posted by
Pilar Tauroni Martínez 2nd
Dirección en Multinacional Americana IT
Send InMail
Desde YUKON IT buscamos incorporar como parte del equipo de minería de datos, varios perfiles para realizar tareas de acceso y tratamiento de datos.

- Desde el inicio, contarás con un contrato indefinido.
- Proyecto estable para el Sector Público.
- Ubicación: Madrid, Pio XII.
- Flexibilidad horaria, con jornada intensiva los viernes y en verano.

¿Que buscamos?

Formación: Titulado superior en estadística, Matemáticas, informática o similar.

Conocimientos necesarios:
- Análisis estadístico, acceso y tratamiento de datos.
- SQL y JavaScript.
- Buscamos profesional con interés por la analítica de datos que quiera avanzar su carrera profesional en el tratamiento y estudio de datos.

Valoramos conocimiento en:
- Excel.
- Herramientas de análisis de datos, BI o ETL...

¡¡Si te puede interesar no dudes en unirte a nuestro equipo!!
Seniority Level
Associate
Industry
Information Technology & Services Telecommunications Internet
Employment Type
Full-time
Job Functions
Information Technology Engineering
How you match
Criteria provided by job poster
Skills
Match
Statistics
Match
SQL
Match
Microsoft Excel
Match
Data Analysis
Match
Data Mining
Match
Analytics
No match
Public Sector
No match
Acess
No match
Mathematica
No match
JavaScript";https://www.linkedin.com/jobs/view/1744889236/;Analista de datos
data analyst;Madrid;2020-04-16-20:47;1822454033;;SoYou_Bankia;Madrid y alrededores, España;1 day;2020-04-15-20:47;True;;Associate;Financial Services;Full-time;Analyst Information Technology Product Management;"Posted Date
Posted 1 day ago
Number of views
699 views
Share
Show more options
Save
Save Backoffice Product Owner at SoYou_Bankia
Easy Apply
See how you compare to 191 applicants. Reactivate Premium
Job
1/6 skills match
191 applicants
Company
51-200 employees
Financial Services
Connections
You have 0 connections at this company.
Add >
*IMPRESCINDIBLE ADJUNTAR CV

As a Backoffice Product Owner, the main duties will be:
Work in an International Project to integrate backoffice platform in Spain.
Understand business requirements related to Collection & Litigation within consumer finance and refine them helping the business to define the most efficient solution. Work with the Business Owners to align business requirements with the corporate solution. Define integrations with our Core Banking Solution, CRM and Contact Center platforms in an efficient way and ensuring data consistency and a proper user experience.
Be the reference from the functional point of view for the Business owners and technical team.
Collaborate in the definition of an executable roadmap for IT Delivery, driven by Business milestones, in a comprehensive go-to-market approach (MVP).
Animate workshops with Business owners, technical analyst and technical team to refine user stories and define the best solution with a best in class user experience and automatization.
Define and refine mature user stories small enough to be implemented in an easy way.
Ensure the solution implemented follow the quality and sustainability standards of the company.
Ensure and promote the execution of the agile ceremonies (refinement, daily, retrospective).

Requirements:
University degree – IT, engineering, statistics.
2 years of experience. Proven experience as Business Analyst in Agile projects.
Technical knowledge of Digital processes for Consumer Finance is a plus (e.g. Electronic documentation & reporting).
Have experience working with agile methodology.
Compulsory use of operative English and Spanish (at a very good level in both)
Experience in backoffice projects.

Competencies:
Strong interpersonal skills
Entrepreneurship skills
Ability to evaluate in a challenging and fast growing environment
Business oriented
Organization and planning;
Results oriented;
Ability to work as a team;
Effective oral and written communication
Willing to work on an international environment.


*IMPRESCINDIBLE ADJUNTAR CV*
Seniority Level
Associate
Industry
Financial Services
Employment Type
Full-time
Job Functions
Analyst Information Technology Product Management
How you match
Criteria provided by job poster
Skills
Match
Business Analysis
No match
User Stories
No match
Banking
No match
Technology Roadmapping
No match
User Experience (UX)
No match
Agile Methodologies";https://www.linkedin.com/jobs/view/1822454033/;Backoffice Product Owner
data analyst;Madrid;2020-04-16-20:47;1766737805;;Interbrand;Madrid, ES;1 week;2020-04-09-20:47;False;;;Graphic Design Management Consulting Marketing & Advertising;Full-time;Marketing Sales;"Posted Date
Posted 1 week ago
Number of views
870 views
Share
Show more options
Save
Save Analyst Intern- Group Growth Department at Interbrand
Apply
See how you compare to 163 applicants. Reactivate Premium
Job
163 applicants
Full-time
Company
1,001-5,000 employees
Marketing & Advertising
Connections
You have 0 connections at this company.
Add >
Interbrand understands what it takes today to build the worlds’ most iconic brands.

Interbrand is its people. We are a global team of thinkers, makers and collaborators. We are proud of our heritage and often regarded as the University of branding.

To support our clients in an ever more complex world, we have renewed our commitment to both common global standards and greater empowerment, experimentation and entrepreneurialism.

Over the past four decades, we have pioneered iconic work and invented many of the brand building tools that are now commonplace.

In collaboration with many of the world’s leading brands, we are pioneering the future of brand building. In the world of Amazon, Instagram, 5G, and AI, Iconic Moves and a new approach to “always on” brand building are our current priorities.

The Interbrand Best Global Brands study/rankings and brandchannel are resources to our clients and the industry, providing proprietary data for our role as client partner and commentator. We have published 18 books on brands and are often the reference point for university curriculum and professional associations. Today, through our own Academy, we aim to be the most accelerated learning environment in the marketing world.

Our Interbrand Madrid office is looking for an Analyst Intern to join the team. The candidate will support the Group Growth team in all the management of Interbrand offices and network.

Key Tasks And Responsibilities
Support market, consumer and trend research
Aid in production of documents for internal or client use (crafting attractive presentations both in message and style): benchmarks, market analysis, trend analysis, consumer analysis
Support to the Global Communications and Marketing team
General support to offices in everything related to New Business
Support making Growth presentations, proposals and Global network reports
Manage social media, create articles and post updates regularly on social and corporate media.

Required Knowledge
Degree in Business, Advertising, PR or similar
Bilingual Spanish-English/ Excels in written and verbal English is a must
Previous working experience in related fields is a plus

Personal And Professional Skills
Passionate about working with brands and branding
Passionate about working with people and complexity
Ability to collaborate across all functions within and outside the team
Self-starter, who is pro-active and can work effectively under pressure and speed
Delivers to excellence and good attention to detail
Naturally curious about consumer-facing issues and current affairs
Open minded and can bring a fresh perspective to a problem

Does it sound like you belong with us?Apply today!

Please submit your complete application documents (Cover Letter, CV)

We look forward to hearing from you!
Industry
Graphic Design Management Consulting Marketing & Advertising
Employment Type
Full-time
Job Functions
Marketing Sales";https://www.linkedin.com/jobs/view/1766737805/;Analyst Intern- Group Growth Department
data analyst;Madrid;2020-04-16-20:47;1616514766;;Enghouse Interactive;Madrid, ES;5 months;2019-11-28-20:47;False;;Associate;Information Technology & Services Telecommunications Human Resources;Full-time;Sales Marketing;"Posted Date
Posted 5 months ago
Number of views
422 views
Share
Show more options
Save
Save Business Data & Operations Analyst at Enghouse Interactive
Apply
See how you compare to 66 applicants. Reactivate Premium
Job
66 applicants
Associate
Company
501-1,000 employees
Computer Software
Connections
You have 0 connections at this company.
Add >
Estamos buscando un Business Data & Operations Analyst reportando al Managing Director, para asumir la gestión de procesos y datos en las áreas de Marketing, Ventas, Proyectos, Soporte y Producto.

El puesto requerirá que la persona sea capaz de hacer un análisis profundo de los datos y proponer mejoras en los procesos de las áreas mencionadas, para ayudar fijar KPIs y dar soporte a la toma de decisiones, con el objetivo de incrementar los ingresos y la productividad.

Así mismo, ayudará al Managing Director en la preparación de informes trimestrales para el BOD y revisiones trimestrales/mensuales del negocio con el Management de la unidad.

Habilidades y Experiencia Requeridas
Más de 3 años en del análisis de procesos y análisis de datos para identificar problemas y proponer soluciones.
Gestión de métricas y KPI.
Gestión de proyectos.
Capacidad de análisis de información, sistematización y redacción.
Capacidad de interlocución a nivel directivo.
Dinámico, con iniciativa, visión de negocio, empatía y facilidad de comunicación personal.
Identificación y resolución de problemas. Pensamiento crítico.
Capacidad de escuchar, establecer relaciones, lograr consenso, establecer rápidamente credibilidad y ganar la confianza de múltiples áreas de la organización.
Trabajo en equipo e integración en contextos multinacionales.
Se valorará experiencia en consultora de negocio.
Experiencia en el uso de herramientas CRM, especialmente Salesforce, de gestión de proyectos, BI, bases de datos y Microsoft Office.
Requerido inglés avanzado, con gran fluidez escrita y conversacional. Se valorarán otros idiomas.
Seniority Level
Associate
Industry
Information Technology & Services Telecommunications Human Resources
Employment Type
Full-time
Job Functions
Sales Marketing";https://www.linkedin.com/jobs/view/1616514766/;Business Data & Operations Analyst
data analyst;Madrid;2020-04-16-20:47;1812956345;;Grupo CMC;Madrid, ES;2 weeks;2020-04-02-20:47;False;;Entry level;Information Technology & Services Human Resources Management Consulting;Full-time;Information Technology;"Posted Date
Posted 2 weeks ago
Number of views
52 views
Share
Show more options
Save
Save Analista De Datos (Python), Madrid at Grupo CMC
Apply
Job
9 applicants
Entry level
Company
1,001-5,000 employees
Management Consulting
Connections
1 alum
Analista de datos (Python) en Madrid Grupo CMC es una multinacional española en constante crecimiento. Actualmente buscamos incorporar dos analistas de datos con conocimientos de Python a una importante entidad bancaria.

Funciones
Análisis de datos.
Grupo CMC Ofrece
Contrato indefinido.
Posibilidad de tele-trabajar.
Flexibilidad horaria.
Trabajar con un cliente importante del sector financiero.
Pertenecer a un equipo de trabajo altamente cualificado en una empresa joven en proceso de expansión.
Trabajar en un ambiente de trabajo amigable, donde la estrecha relación con los managers y con RRHH facilita el espíritu emprendedor, el intercambio de ideas, la iniciativa y el desarrollo de las personas.
Formación en distintas tecnologías.
Desarrollo profesional.
Estabilidad laboral.
Participación en proyectos innovadores y punteros para grandes clientes de primer nivel en distintos sectores de mercado.
Trabajar en una empresa en constante evolución, realizando un trabajo enriquecedor con grandes oportunidades de desarrollo profesional.
Ubicación del puesto de trabajo: Madrid
Garantizamos estabilidad y proyectos de larga duración y por tanto ofrecemos carrera profesional dentro de la compañía.
Si tienes capacidad de trabajo y ganas de seguir aprendiendo en una empresa dinámica y en constante crecimiento ... ¡Esta es tu oportunidad!

python,
Seniority Level
Entry level
Industry
Information Technology & Services Human Resources Management Consulting
Employment Type
Full-time
Job Functions
Information Technology";https://www.linkedin.com/jobs/view/1812956345/;Analista De Datos (Python), Madrid
data analyst;Madrid;2020-04-16-20:47;1747233587;;Adecco;Madrid, ES;1 month;2020-03-19-20:47;False;;Entry level;Construction Information Technology & Services Retail;Contract;Information Technology;"Posted Date
Posted 1 month ago
Number of views
273 views
Share
Show more options
Save
Save Data Analyst -Scientist - Uber Eats (Sector esencial/Teletrabajo) at Adecco
Apply
See how you compare to 41 applicants. Reactivate Premium
Job
41 applicants
Entry level
Company
10001+ employees
Staffing & Recruiting
Connections
You have 0 connections at this company.
Add >

You will be working at one of the most growing company at the moment. If you like customer services, process optimization and a full analysis of a company operation in order to improve it, please apply now! We are looking for a talent like yours!

What you can get
Full time contract compensation
6-24 months contract lenght
Salary between 23-26k including other perks like free cantine!
Excelent work environment

Requisitos
A 2 years of B2B partner management experience is expected
Proven track record of partner management and consistently exceeding KPIs
Excellent communication and interpersonal skills, with the ability to persuasively
communicate recommendations and effectively champion customer needs
Have a competitive edge and thrive in a fast-paced team environment
Strong use of insights and confidence around data-driven decision making
Excellent organization, project management and time management skills
Experience working in Customer support is a plus
Proficient in Excel; Knowledge in Salesforce, JIRA and SQL are a plus
Proficiency in English and Spanish

Responsabilidades
Be part of the Spanish Central Operations team that is focused on Restaurant Operations, Supply
Growth and Marketplace efficiency.
Work closely with your Restaurant Operations Manager to surface issues, best practices and scale
innovative solutions across Spain.
Deep dive into the data to identify areas of improvement and create dashboards to be able to
make data-driven decisions.
Develop and optimize central processes. Uber is a company that moves fast and does things at
large scale. You will help to design processes for Restaurant Operations.
Accelerate the business growth and deliver the best possible experience to our customers through
best-in-class process design, creation, implementation and execution.
Provide input to the strategy, identifying insights to help build our app on the various sides of the
marketplace.
Seniority Level
Entry level
Industry
Construction Information Technology & Services Retail
Employment Type
Contract
Job Functions
Information Technology";https://www.linkedin.com/jobs/view/1747233587/;Data Analyst -Scientist - Uber Eats (Sector esencial/Teletrabajo)
data analyst;Madrid;2020-04-16-20:47;1702574998;;Malthus Darwin;Madrid, ES;3 months;2020-01-23-20:47;False;;Entry level;Information Technology & Services Telecommunications Human Resources;Full-time;Other;"Posted Date
Posted 3 months ago
Number of views
149 views
Share
Show more options
Save
Save Data Analytics at Malthus Darwin
Apply
Job
9 applicants
Entry level
Company
51-200 employees
Human Resources
Connections
You have 0 connections at this company.
Add >
Actualmente precisamos incorporar un perfil de Data Analytics para trabajar en un cliente importante en Madrid,

Funciones
Experiencia en implantaciones en Tag Managers.
Transformación de objetivos de negocio en KPIs y requisitos de medición.
Definición e implantación de la medición a través de tag managers.
Creación de informes en plataformas de deshboarding.
Tecnologías
DTM, Tealium, Adobe Analytics
Malthus Darwin es una consultora con más de 20 años de trayectoria especializada en la búsqueda y selección de perfiles tecnológicos, tanto informáticos como ingenieros.

Para ver más ofertas, no dudes en visitar nuestra página web
Seniority Level
Entry level
Industry
Information Technology & Services Telecommunications Human Resources
Employment Type
Full-time
Job Functions
Other";https://www.linkedin.com/jobs/view/1702574998/;Data Analytics
data analyst;Madrid;2020-04-16-20:47;1794127974;;Aplazame;Madrid, Community of Madrid, Spain;1 week;2020-04-09-20:47;True;;Associate;Financial Services;Full-time;Analyst Engineering;"Posted Date
Posted 1 week ago
Number of views
1,380 views
Share
Show more options
Save
Save Python Data Analyst at Aplazame
Easy Apply
See how you compare to 288 applicants. Reactivate Premium
Job
3/4 skills match
288 applicants
Company
11-50 employees
Financial Services
Connections
1 alum
Posted by
Azahara P. 2nd
Talent Acquisition Manager en Aplazame (We are hiring!)
Send InMail
¡Hola! Soy Jorge Valhondo, Chief Data Officer en Aplazame.

Uno de los temas que nos obsesiona en Aplazame es la idea de poder separar a los clientes que quieren pagar sus compras de una forma más flexible de los clientes que no tienen intención de pago o que están agotando su capacidad de pago.

Desde la compra de Aplazame por el grupo WiZink Bank, todo el equipo está creciendo con un objetivo: convertirnos en la solución líder de financiación instantánea en España y expandirnos a otros países. Para lograr dar crédito de calidad necesitamos seguir mejorando nuestro motor de decisión y adaptarlo a nuevos escenarios que se nos presenten.

¿Quiénes somos nosotros?

Aplazame es una startup FinTech recientemente adquirida por el grupo WiZink Bank que ofrece financiación instantánea para compras online y offline. Te damos crédito para que puedas comprar esa bici tan molona que has visto en tu comercio favorito en cómodos plazos . Sin papeleo, sin letra pequeña y sin llamar a tu banco. Sólo tú con tu móvil y en cuestión de segundos.

Nuestro objetivo es ofrecer productos financieros simples, transparentes y justos que merezcan la confianza de la gente y les permita comprar con flexibilidad. Si quieres participar en el reto que supone trabajar en una de las historias de éxito más importantes del panorama nacional, queremos saber de ti.

¿Cómo es la cultura basada en datos de Aplazame?

Uno de los pilares del área de Data es el desarrollo de un innovador sistema de decisión de crédito basado en un conjunto de algoritmos de machine learning. Además, y no menos relevante, en el equipo de Data también nos encargamos de integrar múltiples fuentes de datos, elaborar métricas e indicadores de riesgo, y en un sentido más amplio, de socializar el acceso al dato al resto de compañeros. Ahora necesitamos refuerzos y por eso estamos buscando alguien que se incorpore al equipo. ¿Te apetecería sumarte al reto? Sigue leyendo que te cuento qué buscamos más concretamente y qué ofrecemos.
¿Data Team de Aplazame?

Somos un equipo compacto y de alto rendimiento. Te hago una breve presentación de nosotros:
Adrián, Lead Data Scientist.
Eyad, Data Engineer.
Urko, Credit Risk Analyst.
Juan Antonio, Data Scientist.
Adrián V., Data Scientist & Engineer.
Ángel, DevOps Engineer.
Aitor, Data Visualization Specialist.

¿A quién nos gustaría encontrar?
Nos gustaría encontrar una persona con al menos unos 2 años de experiencia en un puesto de Data Analyst y al menos 3 años programando con Python.
A una persona con experiencia en las librerías pandas, matplotlib/plotly/bokeh y SQLAlchemy y también acostumbrada a trabajar con Jupyter Notebooks.
A una persona que maneje con fluidez SQL y bases de datos relacionales como Postgres o Redshift.
A una persona con experiencia en el desarrollo de Pipelines y ETLs.
A una persona que tenga las siguientes habilidades:
Capacidad analítica.
Interiorizados fundamentos matemáticos y estadísticos.
Fijación por el detalle.
Capacidad de extraer conocimiento de los datos.
Capacidad de presentar conclusiones de manera efectiva y eficiente.
Capacidad de comunicación.
Valoraremos positivamente si tienes conocimientos de Machine Learning.
Valoraremos positivamente si tienes conocimientos de Tableau.

¿Cómo será tu día a día?

Formarás parte del equipo de data liderado por nuestro CDO. Tu misión principal será analizar y socializar datos y métricas que dan respuesta a necesidades de la compañía.
Trabajarás en estrecha colaboración con el resto de miembros del equipo de Data, y también junto con otras áreas como Negocio, Riesgos y Finanzas.
Transformarás necesidades analíticas de Negocio, Riesgos y Finanzas en requerimientos técnicos.
Definirás y desarrollarás pipelines de datos y procesos ETL que den respuesta a diferentes necesidades analíticas.
Estarás involucrado en la definición de modelos y estructuras de datos que den respuesta a distintas necesidades analíticas y de visualización.
Harás seguimiento de los indicadores y métricas, junto con extracciones de datos.
Realizarás análisis de datos relacionados con el potencial predictivo de una fuente de datos, indicadores del negocio e indicadores de riesgo de crédito y riesgo de fraude.

¿Qué ofrecemos?

Salario bruto entre 38.000€ - 45.000€ / año fijos más variable.
Bolsa de 1000€ / año adicionales para formación.
Contrato laboral indefinido.
Seguro médico Sanitas Multi subvencionado en un 75%.
Aplazame como método de pago al 0% TAE para empleados.
Horario flexible.
24 días laborables de vacaciones al año.
Jornada intensiva en julio y agosto.
El equipo que necesites para trabajar a gusto.
Trabajar con cracks con los que aprender y pasarlo bien creciendo como profesional. Somos humildes pero ambiciosos. Nos encantará ayudarte a desarrollarte profesionalmente. Tu límite lo vas a poner tú.
Un ambiente de confianza, comunicación abierta y buen rollo. Entendemos que tiene que haber ciertas jerarquías, pero nos gusta ser muy horizontales. Todos hablamos con todos y cualquiera es bienvenido a aportar su visión, ideas o experiencias en cualquier frente.
Cultura de feedback y aprendizaje. Intentamos no equivocarnos, pero creemos que de los errores también se aprende mucho. Un buen análisis post-mortem de un fallo puede ser una fuente de aprendizaje brutal.
Horario flexible. Nos fijamos en tus resultados, no en a qué hora llegas o te vas de la oficina así que, dentro de lo lógico, podrás entrar y salir cuando quieras.
La posición está basada en Madrid, y en este caso buscamos alguien que venga frecuentemente a la oficina, aunque nuestra cultura es remote friendly. Tendrás la oportunidad de trabajar en remoto cuando lo necesites.

¿Cómo será el proceso?

Si crees que puedes encajar en esta oferta, nos encantaría hablar contigo. ¡Inscríbete en esta oferta de LinkedIN!
Si tu propuesta nos resulta interesante, nos pondremos en contacto contigo para realizar una entrevista inicial. Así nosotros podremos conocerte y tú tendrás la oportunidad de preguntarnos todo lo que quieras saber.
Si tras esa primera entrevista creemos que tu perfil tiene encaje en el equipo, te propondremos realizar una prueba técnica para valorar más profundamente tus conocimientos.
Te daremos feedback sobre la prueba técnica y, si superas la primera fase del proceso, coordinaremos alguna entrevista técnica con nuestro CDO y el equipo de Data.

¡Estamos deseando conocerte!
Seniority Level
Associate
Industry
Financial Services
Employment Type
Full-time
Job Functions
Analyst Engineering
How you match
Criteria provided by job poster
Skills
Match
Python (Programming Language)
Match
SQL
Match
Data Analysis
No match
PostgreSQL";https://www.linkedin.com/jobs/view/1794127974/;Python Data Analyst
data analyst;Madrid;2020-04-16-20:47;1792597183;;Accenture España;Madrid, ES;1 month;2020-03-19-20:47;False;;Mid-Senior level;Information Technology & Services Computer Software Human Resources;Full-time;Business Development Sales;"Posted Date
Posted 1 month ago
Number of views
148 views
Share
Show more options
Save
Save Data Analytics Manager Madrid at Accenture España
Apply
See how you compare to 14 applicants. Reactivate Premium
Job
14 applicants
Mid-Senior level
Company
10001+ employees
Management Consulting
Connections
1 alum
Accenture Digital offers a comprehensive portfolio of business and technology services across digital marketing, mobility and analytics to help our clients unleash the power of digital to drive growth and create new sources of value. No other company

offers the same blend of insight, assets and industry expertise to help companies become digital businesses.

Applied Intelligence, part of Accenture Digital, help our clients grow their business in entirely new ways. Artificial Intelligence and Analytics enables our clients to achieve high performance through insights from data - insights that inform better decisions and strengthen customer relationships.

The Barcelona Innovation Center has been at the forefront in helping clients from around the globe and across industries under the umbrella of intelligent operations for the last 15 years. We develop cutting-edge assets and solutions to reduce costs and improve supply chain processes, such as optimization of stock levels, demand planning and forecasting, automated warranty solutions, and predictive asset maintenance.

Our team is composed of over 80 data scientists with specialized background in Supply Chain & Operations, 20% of which are PhD’s in the areas of Mathematics, Computer Science, Physics or Statistics. All of that knowledge, combined with Accenture’s business experience, fosters an environment that allows us to quickly react to changing business conditions and provide tailored solution for our client’s needs.

Key Responsibilities
Responsible for the supervision in the development of predictive models and the generation of data-driven insights to solve industrial problems or challenges.
Your objective would be to re-imagine the future of the industry, and the next generation of predictive process control.
Your role will require the supervision of teams doing the extraction, wrangling and enrichment of data from one or multiple sources, online or offline. Moreover, you’ll be responsible for the supervision in the development, training and validation of mentioned models, and the visualization of the data and model results through dynamic dashboards.
You should have working knowledge of process data visualization, statistics/statistical testing, machine learning, data mining, and database structure and management.

We will need you to:

Develop innovative solutions through leadership and contribute to the creation of points of view on re-usable models by Industry X.0
Understand Statistical analysis/programming in tools like Minitab/JMP/R/PYTHON/MATLAB/C++/SAS
Be able to plan and supervise the managing and manipulation of data sets, including: variables definition, performing calculations and summarizations, and creating solutions to address client business needs
Outline and structure the project tasks and best approach, along with team senior members, from the detailed understanding of client’s problem statement and their specific business requirements
Provide specific training and guidance to development factory to ensure data integration activities around base and feature-enriched tables align with the analytical models
Develop and maintain analytical models
Have knowledge of full life cycle development methodologies
Have critical thinking and attention to detail.
Demonstrate a high degree of ownership, accountability for your output and commitment to the task
Mentor and train junior developers and modelers
Support Management team on client proposals and other sales activities
Ability to work collaboratively and effectively with offshore development teams and provide guidance to ensure quality deliverables
Be available to travel frequently
Have proficiency in English

Seniority Level
Mid-Senior level
Industry
Information Technology & Services Computer Software Human Resources
Employment Type
Full-time
Job Functions
Business Development Sales";https://www.linkedin.com/jobs/view/1792597183/;Data Analytics Manager Madrid
data analyst;Madrid;2020-04-16-20:47;1813920592;;Telefónica;Madrid, ES;1 month;2020-03-19-20:47;False;;Entry level;Information Technology & Services Telecommunications Human Resources;Full-time;Information Technology;"Posted Date
Posted 1 month ago
Number of views
354 views
Share
Show more options
Save
Save Analista de Datos at Telefónica
Apply
See how you compare to 70 applicants. Reactivate Premium
Job
70 applicants
Entry level
Company
10001+ employees
Telecommunications
Connections
3 connections
6 alumni
Buscamos Analista de Datos.

Función
El objetivo del puesto se centrará en realizar análisis de la información mediante la explotación de modelos de datos complejos y la generación de análisis y reportes específicos que permitan accionar las conclusiones, así como la generación de la visualización de dichas conclusiones mediante el uso de distintas herramientas de reporting online.


Requisitos
Conocimientos:
Conocimientos avanzados en BBDD relacionales: SQL, MySQL, BigQuery, etc.
Conocimientos en lenguajes de programación: R, Python.
Conocimientos en procesado de datos en cloud.
Conocimientos eh herramientas de Visualización: PowerBI, dataStudio, Qlik. Y librerías como: dash, shiny, ...
Conocimientos en modelización estadística y machine learning.
Dominio de Paquete Office (Excel, Access, Powerpoint)
Valorable conocimientos Marketing Digital y Google Analytics.
Experiencia:
Tratamiento, análisis y modelado de datos:explotación de datos en modelos de datos complejos.
Análisis de negocio, valorable en el ambito digital.
Elaboración de cuadros de mandos.
Experiencia profesional en entornos BigData.
Valorable experiencia con metodologías agile.


Lugar De Trabajo

Madrid, España
Seniority Level
Entry level
Industry
Information Technology & Services Telecommunications Human Resources
Employment Type
Full-time
Job Functions
Information Technology";https://www.linkedin.com/jobs/view/1813920592/;Analista de Datos
